"sampleobscore_id";"sampleobsbase_id";"vartypedetail_key";"name_en";"linktype"
33507;37353;"measured";"Bloodgroup";"exact_match"
33508;37354;"measured";"Rhesus D";"exact_match"
33509;37355;"measured";"Rhesus Formula";"exact_match"
33510;36689;"measured";"Morphology RBC / WBC / PLT";"exact_match"
33511;36699;"derived formula";"Apolipoprotein B / Apolipoprotein A";"group_contains"
33511;36698;"derived formula";"Apolipoprotein B / Apolipoprotein A";"group_contains"
33512;36744;"measured";"2,2',3,3',4,4',5,6'-Octabromodiphenyl ether";"exact_match"
33513;37330;"derived formula";"Benzo[b]fluoranthene + Benzo[k]fluoranthene";"group_contains"
33513;37336;"derived formula";"Benzo[b]fluoranthene + Benzo[k]fluoranthene";"group_contains"
33514;37232;"derived formula";"Sum (cis-DCCA, trans-DCCA)";"group_contains"
33514;37226;"derived formula";"Sum (cis-DCCA, trans-DCCA)";"group_contains"
33515;36996;"derived formula";"Branched Perfluorodecane sulfonic acid";"group_contains"
33515;37040;"derived formula";"Branched Perfluorodecane sulfonic acid";"group_contains"
33516;37001;"derived formula";"Branched Perfluorohexane sulfonic acid";"group_contains"
33516;37048;"derived formula";"Branched Perfluorohexane sulfonic acid";"group_contains"
33517;37048;"derived formula";"Percentage Branched Perfluorohexane sulfonic acid";"group_contains"
33517;37001;"derived formula";"Percentage Branched Perfluorohexane sulfonic acid";"group_contains"
33518;37060;"derived formula";"Branched Perfluorooctanoic acid";"group_contains"
33518;37005;"derived formula";"Branched Perfluorooctanoic acid";"group_contains"
33519;37060;"derived formula";"Percentage Branched Perfluorooctanoic acid";"group_contains"
33519;37005;"derived formula";"Percentage Branched Perfluorooctanoic acid";"group_contains"
33520;37004;"derived formula";"Branched Perfluorooctane sulfonic acid";"group_contains"
33520;37058;"derived formula";"Branched Perfluorooctane sulfonic acid";"group_contains"
33521;37058;"derived formula";"Percentage Branched Perfluorooctane sulfonic acid";"group_contains"
33521;37004;"derived formula";"Percentage Branched Perfluorooctane sulfonic acid";"group_contains"
33522;37065;"derived formula";"Branched Perfluorotetradecanoic acid";"group_contains"
33522;37007;"derived formula";"Branched Perfluorotetradecanoic acid";"group_contains"
33523;37067;"derived formula";"BranchedPerfluorotridecanoic acid";"group_contains"
33523;37008;"derived formula";"BranchedPerfluorotridecanoic acid";"group_contains"
33524;36726;"measured";"2,3,7,8-tetrachlorodibenzodioxin";"exact_match"
33525;36623;"measured";"2,3-Dichloroaniline";"exact_match"
33526;37133;"measured";"2,4,5-trichlorophenol";"exact_match"
33527;37264;"derived formula";"Sum DEHP metabolites";"group_contains"
33527;37260;"derived formula";"Sum DEHP metabolites";"group_contains"
33527;37262;"derived formula";"Sum DEHP metabolites";"group_contains"
33528;36749;"measured";"2,4,6-Tribromophenol";"exact_match"
33529;36718;"derived formula";"mcoch + mhnch";"group_contains"
33529;36717;"derived formula";"mcoch + mhnch";"group_contains"
33530;36888;"derived formula";"asthree + asfive";"group_contains"
33530;36887;"derived formula";"asthree + asfive";"group_contains"
33531;36707;"derived formula";"Blood lipid by enzymatic calculation";"group_contains"
33531;36702;"derived formula";"Blood lipid by enzymatic calculation";"group_contains"
33532;37048;"derived formula";"Percentage Linear Perfluorohexane sulfonic acid";"group_contains"
33532;37001;"derived formula";"Percentage Linear Perfluorohexane sulfonic acid";"group_contains"
33533;37005;"derived formula";"Percentage Linear Perfluorooctanoic acid";"group_contains"
33533;37060;"derived formula";"Percentage Linear Perfluorooctanoic acid";"group_contains"
33534;37137;"measured";"2,4-dichlorophenoxyacetic acid";"exact_match"
